example_number,knowledge_test_question_1,knowledge_test_answer_1,knowledge_test_question_2,knowledge_test_answer_2
1,"At Anfield, if the Kop is one end of the stadium, what is the opposite end?","Anfield Road is the opposite end to the Kop side of the stadium.","In a soccer game at Anfield stadium, would teams normally switch sides at half-time?","Yes."
2,"Is ordinary jet fuel normally possible to ignite at room temperature with a lit match applied to a pooled liquid surface?","Normally, no.","",""
3,"Are cardinal tetras freshwater fish or saltwater fish?","Cardinal tetras are freshwater fish.","Can freshwater fish normally survive for two full days in a full-strength saltwater aquarium?","No."
4,"Can a bishop directly deliver a back rank checkmate?","No.","",""
5,"What season is it in Chile in January?","It is summer in Chile in January.","",""
6,"","","",""
7,"","","",""
8,"","","",""
9,"","","",""
10,"","","",""
11,"What happens when lemon juice is added to hot milk?","The acid commonly causes the milk to curdle or split.","Would curdled or split milk be normally described as ""smooth"" in texture compared to water?","Normally no. It would be described as grainy, coarse, or lumpy."
12,"How many points is a normal made field goal from in front of the three-point line worth?","Two points.","",""
13,"","","",""
14,"Is the Louvre normally open to regular tourists at 2:00 am?","No. The Louvre is closed to ordinary visitors at 2:00 am.","",""
15,"At the time this item is evaluated, is usable cellular or Wi-Fi connectivity available in the New York 1-train tunnel between 110th and 103rd St stations?","(Tested in 2026) No.","",""
16,"Is ordinary wheat pasta safe for a person with celiac disease?","No; ordinary wheat pasta contains gluten which is dangerous for someone with celiac disease.","",""
17,"Under ordinary room-temperature conditions, is a normal brushed layer of acrylic paint generally touch-dry after 24 hours?","Yes.","",""
18,"","","",""
19,"Which New York museum normally holds Van Gogh's The Starry Night?","The Museum of Modern Art (MoMA), not the Metropolitan Museum of Art.","",""
