example_id,row_number,model,revision,condition,generation_profile,thinking_enabled,thinking_status,generation_tags,story,query,expectation,knowledge_reasoning,response,q1_intervention_applied,q2_downstream_consequences,q3_invariants_preserved,q4_other_incoherence,confidence,comments,failed_checks,overall_result,evaluation_status,evaluation_error,evaluator_type,evaluator_model,evaluator_response_id,rubric_version,evaluated_at_utc
example-0968735aaf5d,1,Qwen/Qwen3.5-27B,fc05daec18b0a78c049392ed2e771dde82bdf654,baseline_thinking,qwen3.5_thinking_general_v1,True,completed,[],"Liverpool were playing a crucial home derby against United to stay in the title race. The fans erupted as Salah charged toward the Kop-side goal, and scored right before half-time.","Change this story to make Salah score at the start of the second half instead, keeping all other background factors in the story the same.","The time moves to the start of the second half, and the goal Salah runs toward changes from the Kop end to the Anfield Road end.","The time intervention crosses half-time. Holding the stadium layout and football rule fixed means Liverpool has switched ends, so Salah cannot still be attacking the same physical end.","Liverpool were playing a crucial home derby against United to stay in the title race. The fans erupted as Salah charged toward the Kop-side goal, and scored at the start of the second half.",Yes,No,Yes,No,H,,Q2_downstream_consequences_not_fully_correct,FAIL,evaluated,,human,human_terminal,,counterfactual_edit_v3,2026-09-01T01:52:41.269668+00:00
example-7f6b233feeaa,2,Qwen/Qwen3.5-27B,fc05daec18b0a78c049392ed2e771dde82bdf654,baseline_thinking,qwen3.5_thinking_general_v1,True,completed,[],"It's a pleasant evening with a temperature of 20 degrees Celsius. Out in the backyard, John pours gasoline into a metal bowl at room temperature and drops a lit wooden matchstick onto the surface. The gasoline catches fire and illuminates the surrounding area.","Change this story to make John pour jet fuel into the bowl instead, keeping all other background factors in the story the same.",The fuel changes from gasoline to jet fuel; under the intended ordinary-room-temperature comparison it does not catch fire from the surface match; the surrounding area is therefore not illuminated by a fuel flame.,"The intended load-bearing fact is categorical: ordinary kerosene-type jet fuel is substantially less volatile and harder to ignite at room temperature than gasoline. In the unchanged pooled-fuel and surface-match setup, the jet fuel does not catch fire. Because illumination is downstream of the flame, it also disappears. The item does not require recalling a named fuel grade or an exact flash-point value.","It's a pleasant evening with a temperature of 20 degrees Celsius. Out in the backyard, John pours jet fuel into a metal bowl at room temperature and drops a lit wooden matchstick onto the surface. The jet fuel catches fire and illuminates the surrounding area.",Yes,No,Yes,No,H,,Q2_downstream_consequences_not_fully_correct,FAIL,evaluated,,human,human_terminal,,counterfactual_edit_v3,2026-09-01T02:10:36.759730+00:00
example-d5a81c35b274,3,Qwen/Qwen3.5-27B,fc05daec18b0a78c049392ed2e771dde82bdf654,baseline_thinking,qwen3.5_thinking_general_v1,True,completed,[],"John prepares a full-strength saltwater aquarium as a gift for his niece. Before she leaves for a two-day school trip, he adds two clownfish and leaves the tank conditions unchanged. When she returns two days later, she sees the fish swimming.","Change this story to make John add two cardinal tetras instead, keeping all other background factors fixed.",The species changes from clownfish to cardinal tetras; the unchanged full-strength saltwater aquarium is identified as unsuitable for the freshwater tetras; the story must not continue to describe them as swimming normally.,"The intended load-bearing fact is categorical: clownfish are saltwater fish, whereas cardinal tetras are freshwater fish. Holding the full-strength saltwater aquarium and the two-day interval fixed makes the tank unsuitable after the species substitution. The scored edit does not require quantitative salinity tolerance or a precise mortality prediction.","John prepares a full-strength saltwater aquarium as a gift for his niece. Before she leaves for a two-day school trip, he adds two cardinal tetras and leaves the tank conditions unchanged. When she returns two days later, she sees the fish swimming.",Yes,No,Yes,No,H,,Q2_downstream_consequences_not_fully_correct,FAIL,evaluated,,human,human_terminal,,counterfactual_edit_v3,2026-09-01T02:11:17.217063+00:00
example-b8f763e0e8e7,4,Qwen/Qwen3.5-27B,fc05daec18b0a78c049392ed2e771dde82bdf654,baseline_thinking,qwen3.5_thinking_general_v1,True,completed,[],John pushes his white pawn forward and promotes its to a rook. He then announces a back-rank checkmate.,"Change this story to make John promote his pawn to a bishop instead, keeping all other background factors in the story the same.","The promoted piece becomes a bishop, and the specific rook-delivered back-rank-checkmate claim is removed.","A pawn that legally reaches its last rank may be promoted to a rook or a bishop, so changing the selected piece does not invalidate the move. The pieces then have different checking geometry: a rook attacks along ranks and files, whereas a bishop attacks diagonally. Treating the original sentence as fixing a valid position in which the promoted rook supplies the rank-based mate, the bishop cannot reproduce that specific back-rank attack. This supports removing the back-rank-mate claim, not the stronger claim that the bishop promotion is illegal or could never produce a different mating pattern.",John pushes his white pawn forward and promotes it to a bishop. He then announces a back-rank checkmate.,Yes,No,Yes,No,H,,Q2_downstream_consequences_not_fully_correct,FAIL,evaluated,,human,human_terminal,,counterfactual_edit_v3,2026-09-01T02:11:24.393858+00:00
example-3096f73dfcef,5,Qwen/Qwen3.5-27B,fc05daec18b0a78c049392ed2e771dde82bdf654,baseline_thinking,qwen3.5_thinking_general_v1,True,completed,[],"John travels to France in January. While he is there, he writes in his journal about how much he enjoys the natural beauty of the winter landscapes he sees from his window.","Change this story to make John travel to Chile instead, keeping all other background factors in the story the same.","The destination changes from France to Chile, and the journal's seasonal description changes from winter landscapes to summer landscapes.","France is in the Northern Hemisphere and Chile is in the Southern Hemisphere. January is winter in France but summer in Chile. Holding January fixed therefore changes the applicable season, while the trip, journal entry, and enjoyment are not downstream consequences that need to be removed.","John travels to Chile in January. While he is there, he writes in his journal about how much he enjoys the natural beauty of the winter landscapes he sees from his window.",Yes,No,Yes,No,H,,Q2_downstream_consequences_not_fully_correct,FAIL,evaluated,,human,human_terminal,,counterfactual_edit_v3,2026-09-01T02:11:32.241741+00:00
example-28a112fdd379,6,Qwen/Qwen3.5-27B,fc05daec18b0a78c049392ed2e771dde82bdf654,baseline_thinking,qwen3.5_thinking_general_v1,True,completed,[],"The lines in the airport were very long because a lot of people were traveling that day. Thankfully, John arrived at the airport early, so he did not miss his flight.","Change this story to make lines at the airport short and John to miss his flight instead, keeping all other background factors in the story the same.","The lines become short and the outcome becomes a missed flight, exactly as stipulated; the causal explanation for the miss may remain unspecified.","An intervention is not a request to reverse-engineer a more typical upstream cause. Directly stipulated events are set, and non-descendant background facts remain fixed.","The lines in the airport were very short because few people were traveling that day. Unfortunately, John arrived at the airport late, so he missed his flight.",Yes,Yes,No,No,H,,Q3_invariants_not_fully_preserved,FAIL,evaluated,,human,human_terminal,,counterfactual_edit_v3,2026-09-01T02:12:09.666412+00:00
example-fb656a41c9a8,7,Qwen/Qwen3.5-27B,fc05daec18b0a78c049392ed2e771dde82bdf654,baseline_thinking,qwen3.5_thinking_general_v1,True,completed,[],"It was Alice's birthday and she had organized dinner with friends at a nice restaurant. After she finished work that day, she walked alone outside in the open for 30 minutes to get to the restaurant. She was a bit tired, but her spirits were immediately lifted when her friends complimented her hair and told her how lovely it looked. As they were leaving the restaurant after dinner, she lent her friend the umbrella that she had carried from work. She decided to take a taxi home because it had been raining heavily all day and the streets were wet.","Change this story to make Alice not carry an umbrella with her instead, while still taking the same outdoor walk to dinner, keeping all other background factors in the story the same.",Alice does not carry an umbrella; after the unchanged exposed walk she and her hair are wet; she cannot later lend the absent umbrella.,"The revised query explicitly fixes the outdoor walk, eliminating the alternative in which Alice changes transportation to stay dry. With heavy rain and no cover also fixed, getting wet is the ordinary downstream consequence. The later loan must also disappear because the same absent umbrella cannot be lent. The compliment and taxi are preserved because neither is logically incompatible with wet hair or the missing umbrella.","It was Alice's birthday and she had organized dinner with friends at a nice restaurant. After she finished work that day, she walked alone outside in the open for 30 minutes to get to the restaurant. She was a bit tired, but her spirits were immediately lifted when her friends complimented her hair and told her how lovely it looked. As they were leaving the restaurant after dinner, she said goodbye to her friends. She decided to take a taxi home because it had been raining heavily all day and the streets were wet.",Yes,No,Yes,No,H,,Q2_downstream_consequences_not_fully_correct,FAIL,evaluated,,human,human_terminal,,counterfactual_edit_v3,2026-09-01T02:12:21.046617+00:00
example-24c6a9c9ae59,8,Qwen/Qwen3.5-27B,fc05daec18b0a78c049392ed2e771dde82bdf654,baseline_thinking,qwen3.5_thinking_general_v1,True,completed,[],"In an incredible soccer game, with Real Madrid players Ronaldo, Bale, and Benzema each scoring 2 goals in the first 30 minutes. The only two goals in the second half came from Ronaldo, who completed his hat trick at minute 50, and Bale, who completed his hat trick at minute 70. Madrid ended up winning 11-2.","Change this story to make Madrid score zero goals in the second half instead, keeping all other background factors in the story the same.",Remove Ronaldo's 50th-minute and Bale's 70th-minute goals and their resulting hat-trick claims; reduce Madrid's final score from 11 to 9.,The original total contains nine first-half goals: six explicit plus three implied because only two of eleven occurred in the second half. Removing the two second-half goals leaves nine.,"In an incredible soccer game, with Real Madrid players Ronaldo, Bale, and Benzema each scoring 2 goals in the first 30 minutes. Madrid scored zero goals in the second half. Madrid ended up winning 6-2.",Yes,No,Partial,No,H,,Q2_downstream_consequences_not_fully_correct|Q3_invariants_not_fully_preserved,FAIL,evaluated,,human,human_terminal,,counterfactual_edit_v3,2026-09-01T02:12:34.092757+00:00
example-2c409ce4975e,9,Qwen/Qwen3.5-27B,fc05daec18b0a78c049392ed2e771dde82bdf654,baseline_thinking,qwen3.5_thinking_general_v1,True,completed,[],"It took 30 min for the traffic police to remove the temporary road closure. Two trees had fallen on the road in the storm and they needed to use a chainsaw to cut up both the trees one after the other, to clear the debris.","Change this story to make only one tree to have falled down instead, keeping all other background factors in the story the same.",The number of trees changes from two to one and the clearance time becomes less than the original 30 minutes.,Eliminating one of two sequential positive-duration tasks removes its work from the critical path. Fixed overhead and unequal tree sizes prevent a unique numeric answer.,"It took 30 min for the traffic police to remove the temporary road closure. One tree had fallen on the road in the storm and they needed to use a chainsaw to cut up the tree, to clear the debris.",Yes,No,Yes,No,H,,Q2_downstream_consequences_not_fully_correct,FAIL,evaluated,,human,human_terminal,,counterfactual_edit_v3,2026-09-01T02:12:47.642015+00:00
example-d4849950fc8a,10,Qwen/Qwen3.5-27B,fc05daec18b0a78c049392ed2e771dde82bdf654,baseline_thinking,qwen3.5_thinking_general_v1,True,completed,[],"Soccer player Ramos received 4 yellow cards in the first 4 games, without getting a red card. This caused him to be suspended for the next 3 games, following his 4th yellow card against Barcelona, whom he was facing after ages.","Change this story to make the rule be to suspend a player after 3 consecutive yellow cards instead, keeping all other background factors in the story the same.",Suspension begins after game 3; Ramos does not play Barcelona in game 4 and does not receive a fourth-game yellow there.,The rule intervention moves the threshold crossing one game earlier. Participation and the fourth yellow are downstream of suspension timing.,"Soccer player Ramos received 3 consecutive yellow cards in the first 3 games, without getting a red card. This caused him to be suspended for the next 3 games, following his 3rd yellow card against Barcelona, whom he was facing after ages.",Yes,No,No,No,H,,Q2_downstream_consequences_not_fully_correct|Q3_invariants_not_fully_preserved,FAIL,evaluated,,human,human_terminal,,counterfactual_edit_v3,2026-09-01T02:13:30.827043+00:00
